"","Country","LIFE EXT","MORT RATE","POP TOTAL","POP URBAN","POP 0TO14","POP 15TO65","POP 65UP","POP 80UP","NumBeds","Date","NumConfirmed","NumDeaths"
"1","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"1/22/20",0,0
"2","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"1/23/20",0,0
"3","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"1/24/20",0,0
"4","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"1/25/20",0,0
"5","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"1/26/20",0,0
"6","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"1/27/20",0,0
"7","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"1/28/20",0,0
"8","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"1/29/20",0,0
"9","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"1/30/20",0,0
"10","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"1/31/20",0,0
"11","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"2/1/20",0,0
"12","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"2/2/20",0,0
"13","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"2/3/20",0,0
"14","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"2/4/20",0,0
"15","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"2/5/20",0,0
"16","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"2/6/20",0,0
"17","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"2/7/20",0,0
"18","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"2/8/20",0,0
"19","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"2/9/20",0,0
"20","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"2/10/20",0,0
"21","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"2/11/20",0,0
"22","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"2/12/20",0,0
"23","Afghanistan",63.377,455.47,34413603,8535606,15443807,18116800,852996,85552,5,"2/13/20",0,0
